t0,st0,zr,v0,v1,a,alpha,file,pp,condition
0.28013834,0.10202492,0.35473114,-2.5020404,3.6640043,0.5371545,1.0961702,file95_explicitDeadline.csv,95,explicitDeadline
0.34440592,0.08490397,0.5147331,-3.6222153,3.494012,0.5577582,1.474894,file268_implicitDeadline.csv,268,implicitDeadline
0.3318604,0.10442085,0.45918158,-2.9220724,3.5498335,0.5686687,1.3625818,file92_implicitDeadline.csv,92,implicitDeadline
0.26979747,0.11085609,0.4532871,-2.4446006,2.6099904,0.46605834,1.0819061,file169_explicitDeadline.csv,169,explicitDeadline
0.31717315,0.12102228,0.4839404,-2.7332635,2.9226007,0.37833863,1.2426664,file177_explicitDeadline.csv,177,explicitDeadline
0.27508587,0.12230665,0.49758345,-1.7821012,1.6561179,0.33577368,1.1512924,file113_implicitDeadline.csv,113,implicitDeadline
0.27344123,0.1830192,0.46687764,-1.8067232,1.6680733,0.5129609,1.0458801,file178_implicitDeadline.csv,178,implicitDeadline
0.36039934,0.14132188,0.41170192,-1.9451112,2.2933533,0.229051,1.257334,file70_explicitDeadline.csv,70,explicitDeadline
0.3318129,0.15099928,0.5588099,-2.7451978,2.0823953,0.42392188,1.1783909,file316_implicitDeadline.csv,316,implicitDeadline
0.25181922,0.12168944,0.39794222,-2.0305262,2.0743752,0.37757733,1.1117345,file89_explicitDeadline.csv,89,explicitDeadline
0.3324161,0.04217116,0.5101913,-3.1789083,3.161287,1.1033452,1.7327422,file273_acc.csv,273,acc
0.25485802,0.103615746,0.5342044,-2.1881692,2.1108952,0.506388,1.0408409,file87_implicitDeadline.csv,87,implicitDeadline
0.3358323,0.05413519,0.47228983,-4.718599,4.668218,1.1263161,1.8280313,file114_acc.csv,114,acc
0.31773633,0.12877882,0.5432364,-2.5688508,2.4377058,0.592532,1.2210286,file146_implicitDeadline.csv,146,implicitDeadline
0.29273674,0.038664363,0.46004188,-3.8783677,4.206246,0.98348993,1.7551931,file237_acc.csv,237,acc
0.34324992,0.14209136,0.4829602,-3.2789237,3.0497682,0.5607754,1.2171191,file83_implicitDeadline.csv,83,implicitDeadline
0.25563338,0.12342161,0.41209316,-3.1390526,3.577625,0.97177815,1.0094843,file272_explicitDeadline.csv,272,explicitDeadline
0.29484254,0.15783066,0.4033667,-1.2471868,1.7404151,0.30131334,1.0787432,file195_explicitDeadline.csv,195,explicitDeadline
0.30432752,0.14356908,0.5433718,-3.660216,3.3727434,0.87334883,1.5505028,file264_acc.csv,264,acc
0.4014542,0.11965913,0.46374765,-2.191609,2.2778819,0.8996424,1.5084267,file63_acc.csv,63,acc
0.3780301,0.15082377,0.46643183,-3.9249675,4.457034,1.0243521,1.6782955,file221_acc.csv,221,acc
0.33547017,0.1053859,0.4639453,-2.8405027,3.5085,0.3834166,1.1548938,file189_explicitDeadline.csv,189,explicitDeadline
0.27410856,0.104656495,0.52178866,-3.0501153,2.9565806,0.81320393,1.2408994,file260_acc.csv,260,acc
0.3229382,0.076340854,0.45705634,-3.2197897,3.1646454,0.4697396,1.6099715,file111_implicitDeadline.csv,111,implicitDeadline
0.28384176,0.086627945,0.52438885,-3.1812463,2.8283439,0.653087,1.2142345,file290_implicitDeadline.csv,290,implicitDeadline
0.29501885,0.034841806,0.53585887,-4.6744785,4.122594,1.228389,1.8796955,file160_acc.csv,160,acc
0.2980985,0.118012294,0.4888987,-2.4177508,2.2330549,0.31987882,1.1259419,file249_explicitDeadline.csv,249,explicitDeadline
